Club,Postcode,Entry Round,Location Status
Badshot Lea FC,GU10 4QP,Extra Preliminary Round,verified
Baffins Milton Rovers FC,PO3 5LY,Extra Preliminary Round,verified
Baldock Town FC,SG15 6RS,Extra Preliminary Round,verified
Balham FC,SM4 6BF,Extra Preliminary Round,verified
Bamber Bridge FC,PR5 6UX,First Round Qualifying,supporting-evidence
Banbury United FC,OX16 5AB,First Round Qualifying,supporting-evidence
Barking FC,RM8 2JR,Extra Preliminary Round,verified
Barnoldswick Town FC,BB18 5LJ,Extra Preliminary Round,verified
Barnstaple Town FC,EX31 1JQ,Extra Preliminary Round,verified
Barrow AFC,LA14 5UW,Fourth Round Qualifying,supporting-evidence
Barton Rovers FC,MK45 4LQ,Extra Preliminary Round,verified
Barton Town FC,DN18 5JD,Extra Preliminary Round,verified
Barwell FC,LE9 8FQ,Preliminary Round,verified
Basford United FC,NG6 0LD,Preliminary Round,verified
Bashley FC,BH25 5RY,Extra Preliminary Round,verified
Basildon United FC,SS14 3AW,Extra Preliminary Round,verified
Basingstoke Town FC,RG23 8BD,First Round Qualifying,supporting-evidence
Bath City FC,BA2 1DB,First Round Qualifying,verified
Beaconsfield Town FC,HP9 2SE,Extra Preliminary Round,verified
Bearsted FC,ME15 8RG,Extra Preliminary Round,verified
Beckenham Town FC,BR3 3JL,Extra Preliminary Round,verified
Bedfont FC,TW14 9QT,Extra Preliminary Round,verified
Bedfont Sports Club FC,TW14 8JA,Extra Preliminary Round,verified
Bedford Town FC,MK44 3LW,Second Round Qualifying,supporting-evidence
Bedworth United FC,CV12 8NN,Extra Preliminary Round,verified
Belper Town FC,DE56 1BA,Preliminary Round,verified
Belper United FC,DE3 9FB,Extra Preliminary Round,verified
Bemerton Heath Harlequins FC,SP2 9DT,Extra Preliminary Round,verified
Benfleet FC,SS7 4PA,Extra Preliminary Round,verified
Berkhamsted FC,HP4 2AL,First Round Qualifying,supporting-evidence
Beverley Town FC,HU17 9HW,Extra Preliminary Round,verified
Bexhill United FC,TN39 3HA,Extra Preliminary Round,verified
Bideford AFC,EX39 2LH,Extra Preliminary Round,verified
Biggleswade FC,MK44 3LW,Preliminary Round,verified
Biggleswade Town FC,SG18 9JT,Preliminary Round,verified
Biggleswade United FC,SG18 0AA,Extra Preliminary Round,verified
Billericay Town FC,CM12 9SA,Second Round Qualifying,supporting-evidence
Billingshurst FC,RH14 9HZ,Extra Preliminary Round,verified
Binfield FC,RG42 5NR,Extra Preliminary Round,verified
Birtley Town FC,DH3 2TB,Extra Preliminary Round,verified
Bishop Auckland FC,DL14 9AE,Extra Preliminary Round,verified
Bishop's Cleeve FC,GL52 3PD,Preliminary Round,verified
Bishop's Stortford FC,CM23 5RG,First Round Qualifying,verified
Blackstones AFC,PE9 1SH,Extra Preliminary Round,verified
Blyth Spartans AFC,NE24 3JE,Extra Preliminary Round,verified
Blyth Town FC,NE24 3PS,Extra Preliminary Round,verified
Bognor Regis Town FC,PO21 2TY,Extra Preliminary Round,verified
Boldmere St Michaels FC,B73 5RY,Extra Preliminary Round,verified
Bootle FC,L30 1NY,Preliminary Round,verified
Boreham Wood FC,WD6 5AL,Fourth Round Qualifying,verified
Boro Rangers FC,TS4 3JW,Extra Preliminary Round,verified
Boston Town FC,PE21 9LR,Extra Preliminary Round,verified
Boston United FC,PE21 7NE,Fourth Round Qualifying,supporting-evidence
Bottesford Town FC,DN17 2TQ,Extra Preliminary Round,verified
Bourne Town FC,PE10 9EN,Extra Preliminary Round,verified
Bournemouth Poppies FC,BH9 2RA,Extra Preliminary Round,verified
Bovey Tracey FC,TQ13 9FF,Extra Preliminary Round,verified
Bowers & Pitsea FC,SS13 2BE,Extra Preliminary Round,verified
Brackley Town FC,NN13 7EJ,Second Round Qualifying,verified
Bracknell Town FC,GU47 9BJ,First Round Qualifying,supporting-evidence
Bradford (Park Avenue) FC,BD6 2NG,Preliminary Round,verified
Bradford Town FC,BA15 1EE,Extra Preliminary Round,verified
Braintree Town FC,CM7 3RD,Second Round Qualifying,supporting-evidence
Brantham Athletic FC,CO11 1RZ,Extra Preliminary Round,verified
Brentwood Town FC,CM15 9NN,First Round Qualifying,supporting-evidence
Bridgwater United FC,TA6 4TZ,Extra Preliminary Round,verified
Bridlington Town AFC,YO16 7LN,Extra Preliminary Round,verified
Brightlingsea Regent FC,CO7 0PL,Extra Preliminary Round,verified
Brislington FC,BS4 5RS,Extra Preliminary Round,verified
Bristol Manor Farm FC,BS9 2HS,Extra Preliminary Round,verified
Brixham AFC,TQ5 9UE,Extra Preliminary Round,verified
Broadbridge Heath FC,RH12 3YS,Extra Preliminary Round,verified
Broadfields United FC,HA2 0XH,Extra Preliminary Round,verified
Brockenhurst FC,SO42 7RE,Extra Preliminary Round,verified
Brocton FC,ST17 4JH,Extra Preliminary Round,verified
Bromsgrove Sporting FC,B61 0DR,First Round Qualifying,supporting-evidence
Buckhurst Hill FC,IG9 6BJ,Extra Preliminary Round,verified
Buckland Athletic FC,TQ12 5JU,Extra Preliminary Round,verified
Burgess Hill Town FC,RH15 8DL,First Round Qualifying,supporting-evidence
Burnham FC,SL1 8JG,Extra Preliminary Round,verified
Burscough FC,L40 0SD,Extra Preliminary Round,verified
Bury FC,BL9 9HR,First Round Qualifying,supporting-evidence
Bury Town FC,IP33 1XP,First Round Qualifying,supporting-evidence
Buxton FC,SK17 6QH,Second Round Qualifying,supporting-evidence
Camberley Town FC,GU15 2QW,Extra Preliminary Round,verified
Cambridge City FC,CB4 1UY,Extra Preliminary Round,verified
Campion AFC,BD9 5AT,Extra Preliminary Round,verified
Canvey Island FC,SS8 7PX,Preliminary Round,verified
Carlisle City FC,CA1 3AF,Extra Preliminary Round,verified
Carlisle United AFC,CA1 1LL,Fourth Round Qualifying,verified
Carlton Town FC,NG14 5HN,Preliminary Round,verified
Carshalton Athletic FC,SM5 2PW,First Round Qualifying,supporting-evidence
Chadderton FC,OL9 0JT,Extra Preliminary Round,verified
Charnock Richard FC,PR7 5LZ,Extra Preliminary Round,verified
Chasetown FC,WS3 3LH,Extra Preliminary Round,verified
Chatham Town FC,ME4 6LR,First Round Qualifying,verified
Cheadle Town FC,SK8 2AN,Extra Preliminary Round,verified
Chelmsford City FC,CM1 2EH,Second Round Qualifying,supporting-evidence
Chertsey Town FC,KT16 9DW,First Round Qualifying,supporting-evidence
Chesham United FC,HP5 1NE,Second Round Qualifying,verified
Cheshunt FC,EN8 8RU,First Round Qualifying,supporting-evidence
Chester FC,CH1 4LT,Second Round Qualifying,supporting-evidence
Chichester City FC,PO19 6AR,First Round Qualifying,supporting-evidence
Chippenham Town FC,SN14 6LR,First Round Qualifying,supporting-evidence
Chipstead FC,CR5 3SF,Extra Preliminary Round,verified
Chislehurst Glebe FC,BR7 6HA,Extra Preliminary Round,verified
Chorley FC,PR7 3DU,Second Round Qualifying,supporting-evidence
Christchurch FC,BH23 6DY,Extra Preliminary Round,verified
Cinderford Town FC,GL14 2QH,Extra Preliminary Round,verified
Cirencester Town FC,GL7 1HS,Extra Preliminary Round,verified
Clapton Community FC,E7 9NP,Extra Preliminary Round,verified
Clay Cross Town FC,S45 9QF,Extra Preliminary Round,verified
Cleethorpes Town FC,DN32 8QL,First Round Qualifying,verified
Clevedon Town FC,BS21 6TG,Extra Preliminary Round,verified
Clitheroe FC,BB7 1LZ,Extra Preliminary Round,verified
Cobham FC,KT11 3EP,Extra Preliminary Round,verified
Cockfosters FC,EN4 9JG,Extra Preliminary Round,verified
Coleshill Town FC,B46 3JQ,Preliminary Round,verified
Colney Heath FC,AL4 0NP,Extra Preliminary Round,verified
Concord Rangers FC,SS8 0HH,Extra Preliminary Round,verified
Congleton Town FC,CW12 4GA,Extra Preliminary Round,verified
Consett AFC,DH8 5BF,Extra Preliminary Round,verified
Corby Town FC,NN17 2AE,Extra Preliminary Round,verified
Corinthian Casuals FC,KT6 7NA,Extra Preliminary Round,verified
Corinthian FC,DA3 8LY,Extra Preliminary Round,verified
Cornard United FC,CO10 0NL,Extra Preliminary Round,verified
Corsham Town FC,SN13 9HS,Extra Preliminary Round,verified
Coton Green FC,B78 3RX,Extra Preliminary Round,verified
Coventry Sphinx FC,CV3 1WA,Extra Preliminary Round,verified
Coventry United FC,CV1 3GE,Extra Preliminary Round,verified
Cowes Sports FC,PO31 7NT,Extra Preliminary Round,verified
Crawley Down Gatwick FC,RH10 4LJ,Extra Preliminary Round,verified
Cray Valley (PM) FC,SE9 5HT,Preliminary Round,verified
Cray Wanderers FC,BR7 6HL,First Round Qualifying,supporting-evidence
Cribbs FC,BS10 7TB,Extra Preliminary Round,verified
Crook Town AFC,DL15 9PW,Extra Preliminary Round,verified
Crowborough Athletic FC,TN6 3BU,Extra Preliminary Round,verified
Curzon Ashton FC,OL7 9HG,First Round Qualifying,supporting-evidence
Dagenham & Redbridge FC,RM10 7XL,Second Round Qualifying,supporting-evidence
Darlaston Town FC,WS2 0EA,Extra Preliminary Round,verified
Darlington FC,DL1 5NR,Second Round Qualifying,supporting-evidence
Dartford FC,DA1 1RT,First Round Qualifying,supporting-evidence
Daventry Town FC,NN11 4NS,Extra Preliminary Round,verified
Deal Town FC,CT14 9AU,Extra Preliminary Round,verified
Dearne & District FC,S63 9EH,Extra Preliminary Round,verified
Deeping Rangers FC,PE6 8LQ,Extra Preliminary Round,verified
Dereham Town FC,NR20 3PX,Extra Preliminary Round,verified
Desborough Town FC,NN14 2LJ,Extra Preliminary Round,verified
Devizes Town FC,SN10 3DX,Extra Preliminary Round,verified
Didcot Town FC,OX11 7GA,Extra Preliminary Round,verified
Dorchester Town FC,DT1 2RY,Preliminary Round,verified
Dorking Wanderers FC,RH4 1DX,Second Round Qualifying,verified
Dover Athletic FC,CT17 0JB,Second Round Qualifying,supporting-evidence
Downham Town FC,PE38 9QE,Extra Preliminary Round,verified
Downton FC,SP5 3NF,Extra Preliminary Round,verified
Droitwich Spa FC,WR9 0RZ,Extra Preliminary Round,verified
Droylsden FC,M43 7AY,Extra Preliminary Round,verified
Dudley Town FC,WV13 3BB,Extra Preliminary Round,verified
Dulwich Hamlet FC,SE22 8BD,First Round Qualifying,supporting-evidence
Dunstable FC,LU6 1BB,Extra Preliminary Round,verified
Dunston FC,NE11 9JL,Preliminary Round,verified
Easington Colliery FC,SR8 3PL,Extra Preliminary Round,verified
Easington Sports FC,OX16 9DH,Extra Preliminary Round,verified
East Cowes Victoria Athletic FC,PO32 6PA,Extra Preliminary Round,verified
East Grinstead Town FC,RH19 3LS,Extra Preliminary Round,verified
Eastbourne Borough FC,BN23 7QH,First Round Qualifying,supporting-evidence
Eastbourne Town FC,BN21 1EA,Extra Preliminary Round,verified
Eastbourne United AFC,BN22 7LN,Extra Preliminary Round,verified
Eastleigh FC,SO50 9HT,Fourth Round Qualifying,verified
Eastwood Community FC,NG16 3HB,Extra Preliminary Round,verified
Ebbsfleet United FC,DA11 9GN,Second Round Qualifying,supporting-evidence
Egham Town FC,TW20 8XD,Preliminary Round,verified
Ely City FC,CB6 2SH,Extra Preliminary Round,verified
Emley AFC,HD8 9RE,First Round Qualifying,supporting-evidence
Enfield FC,SG13 8EX,Extra Preliminary Round,verified
Enfield Town FC,EN1 3PL,First Round Qualifying,supporting-evidence
Epsom & Ewell FC,KT9 2NF,Extra Preliminary Round,verified
Erith & Belvedere FC,DA16 1SY,Extra Preliminary Round,verified
Erith Town FC,SE28 8NJ,Extra Preliminary Round,verified
Euxton Villa FC,PR7 6HH,Extra Preliminary Round,verified
Everett Rovers FC,WD24 5FS,Extra Preliminary Round,verified
Eversley & California FC,RG27 0NS,Extra Preliminary Round,verified
Evesham United FC,WR11 2LZ,First Round Qualifying,supporting-evidence
Exmouth Town FC,EX8 3EE,Extra Preliminary Round,verified
Eynesbury Rovers FC,PE19 2SF,Extra Preliminary Round,verified
Fairford Town FC,GL7 4AX,Extra Preliminary Round,verified
Fakenham Town FC,NR21 8SW,Extra Preliminary Round,verified
Falmouth Town AFC,TR11 4PB,Extra Preliminary Round,verified
Fareham Town FC,PO14 1RH,Extra Preliminary Round,verified
Farnborough FC,GU14 8UD,Second Round Qualifying,supporting-evidence
Farnham Town FC,GU9 7DY,Second Round Qualifying,supporting-evidence
Faversham Strike Force FC,CT5 1QP,Extra Preliminary Round,verified
Faversham Town FC,ME13 8ND,Extra Preliminary Round,verified
FC Halifax Town,HX1 2YT,Fourth Round Qualifying,verified
FC Peterborough,PE1 4PE,Extra Preliminary Round,verified
FC St Helens,WA10 6TD,Extra Preliminary Round,verified
FC United of Manchester,M40 0FJ,First Round Qualifying,verified
Felixstowe & Walton United FC,IP11 9HT,Preliminary Round,verified
Fisher FC,SE16 6NT,Extra Preliminary Round,verified
Flackwell Heath FC,HP10 9EA,Extra Preliminary Round,verified
Fleet Town FC,GU51 5FA,Extra Preliminary Round,verified
Fleetlands FC,PO13 0AX,Extra Preliminary Round,verified
Folkestone Invicta FC,CT19 5JU,Second Round Qualifying,supporting-evidence
Forest Green Rovers FC,GL6 0ET,Fourth Round Qualifying,supporting-evidence
Forest Row FC,RH10 1LQ,Extra Preliminary Round,verified
Frenford FC,IG1 3PS,Extra Preliminary Round,verified
Frickley Athletic FC,WF9 2EQ,Extra Preliminary Round,verified
Frome Town FC,BA11 2EH,First Round Qualifying,supporting-evidence
Gainsborough Trinity FC,DN21 2QW,First Round Qualifying,supporting-evidence
Garforth Town FC,LS25 2PF,Extra Preliminary Round,verified
Gateshead FC,NE10 0EF,Fourth Round Qualifying,supporting-evidence
Glossop North End FC,SK13 7AJ,Extra Preliminary Round,verified
Gloucester City FC,GL2 5FD,First Round Qualifying,supporting-evidence
Godalming Town FC,GU7 3JE,Extra Preliminary Round,verified
Godmanchester Rovers FC,PE29 2LQ,Extra Preliminary Round,verified
Golcar United FC,HD7 4AZ,Extra Preliminary Round,verified
Gorleston FC,NR30 1EY,Preliminary Round,verified
Gosport Borough FC,PO12 3SX,First Round Qualifying,supporting-evidence
Grantham Town FC,NG31 7XQ,Extra Preliminary Round,verified
Grays Athletic FC,RM18 8NL,Extra Preliminary Round,verified
Great Wakering Rovers FC,SS3 0HE,Extra Preliminary Round,verified
Great Yarmouth Town FC,NR30 1EY,Extra Preliminary Round,verified
Gresley Rovers FC,DE11 9RE,Extra Preliminary Round,verified
Grimsby Borough FC,DN37 0AG,Extra Preliminary Round,verified
Guernsey FC,GY2 4BB,Extra Preliminary Round,verified
Guisborough Town FC,TS14 6LE,Extra Preliminary Round,verified
Guiseley AFC,LS20 8BT,First Round Qualifying,supporting-evidence
Hackney Wick FC,CM8 1UN,Extra Preliminary Round,verified
Hadley FC,EN5 3LD,Extra Preliminary Round,verified
Halesowen Town FC,B63 3TB,First Round Qualifying,verified
Hallam FC,S10 5SE,Extra Preliminary Round,verified
Hallen FC,BS10 7RU,Extra Preliminary Round,verified
Halstead Town FC,CO9 1HR,Extra Preliminary Round,verified
Hamble Club FC,SO31 4TS,Extra Preliminary Round,verified
Hampton & Richmond Borough FC,TW12 2BX,Second Round Qualifying,supporting-evidence
Hamworthy Recreation FC,BH21 3AE,Extra Preliminary Round,verified
Handsworth FC,S9 4PA,Extra Preliminary Round,verified
Hanley Town FC,ST2 8AJ,Extra Preliminary Round,verified
Hanwell Town FC,UB6 8TL,First Round Qualifying,supporting-evidence
Hanworth Villa FC,TW13 6PN,First Round Qualifying,supporting-evidence
Harborough Town FC,LE16 9HF,Second Round Qualifying,supporting-evidence
Harefield United FC,UB9 6NE,Extra Preliminary Round,verified
Haringey Borough FC,N17 7JP,Extra Preliminary Round,verified
Harleston Town FC,IP20 9DD,Extra Preliminary Round,verified
Harlow Town FC,CM19 5BE,Extra Preliminary Round,verified
Harpenden Town FC,AL5 2EF,Extra Preliminary Round,verified
Harrogate Town AFC,HG2 7SA,Fourth Round Qualifying,supporting-evidence
Harrow Borough FC,HA2 8SS,Preliminary Round,verified
Hartlepool United FC,TS24 8BZ,Fourth Round Qualifying,verified
Hartley Wintney FC,RG27 8DL,Extra Preliminary Round,verified
Hartpury FC,GL19 3BE,Extra Preliminary Round,verified
Harwich & Parkeston FC,CO12 4AA,Extra Preliminary Round,verified
Hashtag United FC,RM15 4PX,Preliminary Round,verified
Hassocks FC,BN6 9LU,Extra Preliminary Round,verified
Hastings United FC,TN34 2AX,Extra Preliminary Round,verified
Havant & Waterlooville FC,PO9 5TH,First Round Qualifying,supporting-evidence
Haverhill Rovers FC,CB9 0BW,Extra Preliminary Round,verified
Hayes & Yeading United FC,UB4 0SL,Extra Preliminary Round,verified
Haywards Heath Town FC,RH16 3PT,Extra Preliminary Round,verified
Heacham FC,PE31 7HG,Extra Preliminary Round,verified
Heanor Town FC,DE75 7EN,Extra Preliminary Round,verified
Heaton Stannington FC,NE7 7HP,Preliminary Round,verified
Hebburn Town FC,NE31 1UN,Second Round Qualifying,supporting-evidence
Hednesford Town FC,WS12 2DZ,Second Round Qualifying,supporting-evidence
Hemel Hempstead Town FC,HP2 4HW,Second Round Qualifying,supporting-evidence
Hendon FC,NW9 7NE,Extra Preliminary Round,verified
Hereford FC,HR4 9JU,Second Round Qualifying,supporting-evidence
Hereford Pegasus FC,HR1 1EX,Extra Preliminary Round,verified
Herne Bay FC,CT6 5SG,Extra Preliminary Round,verified
Hertford Town FC,SG13 8EX,Preliminary Round,verified
Heybridge Swifts FC,CM9 8JA,Extra Preliminary Round,verified
Highgate United FC,B90 1PH,Extra Preliminary Round,verified
Highworth Town FC,SN6 7DD,Extra Preliminary Round,verified
Hilltop FC,NW9 7NE,Extra Preliminary Round,verified
Hinckley AFC,LE9 8FQ,Extra Preliminary Round,verified
Histon FC,CB24 9PH,Extra Preliminary Round,verified
Hitchin Town FC,SG5 1NU,First Round Qualifying,verified
Hollands & Blair FC,ME7 3AL,Extra Preliminary Round,verified
Holmesdale FC,BR2 8HQ,Extra Preliminary Round,verified
Holyport FC,SL6 8SP,Extra Preliminary Round,verified
Horbury Town FC,WF4 5BH,Extra Preliminary Round,verified
Horden Community Welfare FC,SR8 4LX,Extra Preliminary Round,verified
Horley Town FC,RH6 8SP,Extra Preliminary Round,verified
Hornchurch FC,RM14 2LX,Fourth Round Qualifying,supporting-evidence
Horndean FC,PO8 9NZ,Extra Preliminary Round,verified
Horsham FC,RH13 0AB,Second Round Qualifying,supporting-evidence
Horsham YMCA FC,RH13 5BP,Extra Preliminary Round,verified
Hucknall Town FC,NG15 6DW,Extra Preliminary Round,verified
Hullbridge Sports FC,SS5 6BJ,Extra Preliminary Round,verified
Hungerford Town FC,RG17 0AY,Preliminary Round,verified
Hutton FC,CM12 9SA,Extra Preliminary Round,verified
Hyde United FC,SK14 5PL,First Round Qualifying,supporting-evidence
Hythe & Dibden FC,SO45 5TN,Extra Preliminary Round,verified
Ilford FC,IG1 1FY,Extra Preliminary Round,verified
Ilkeston Town FC,DE7 8JF,First Round Qualifying,supporting-evidence
Ipswich Wanderers FC,IP4 3NR,Extra Preliminary Round,verified
Irlam FC,M44 6HR,Extra Preliminary Round,verified
Ivybridge Town FC,PL21 9ES,Extra Preliminary Round,verified
Jersey Bulls FC,JE2 4LF,Preliminary Round,verified
Keighley Town FC,BD21 3RF,Extra Preliminary Round,verified
Kempston Rovers FC,MK42 8SZ,Extra Preliminary Round,verified
Kendal Town FC,LA9 7BL,Extra Preliminary Round,verified
Kennington FC,TN26 1NJ,Extra Preliminary Round,verified
Kettering Town FC,NN15 5PS,First Round Qualifying,supporting-evidence
Kidderminster Harriers FC,DY10 1NB,Fourth Round Qualifying,verified
Kidlington FC,OX5 1AT,Extra Preliminary Round,verified
Kidsgrove Athletic FC,ST7 1DH,Extra Preliminary Round,verified
Kimberley Miners Welfare FC,NG16 2NB,Extra Preliminary Round,verified
King's Lynn Town FC,PE30 5PB,Second Round Qualifying,supporting-evidence
Kings Langley FC,WD4 8BS,Extra Preliminary Round,verified
Kingstonian FC,TW19 7BH,Extra Preliminary Round,verified
Kirkley & Pakefield FC,NR33 7LE,Extra Preliminary Round,verified
Knaphill FC,GU21 2AY,Extra Preliminary Round,verified
Knaresborough Town FC,HG5 8LF,Extra Preliminary Round,verified
Knowle FC,B93 0NX,Extra Preliminary Round,verified
Lakenheath FC,IP27 9HW,Extra Preliminary Round,verified
Lancaster City FC,LA1 5PE,First Round Qualifying,supporting-evidence
Lancing FC,BN15 9AX,Extra Preliminary Round,verified
Larkfield & New Hythe FC,ME20 6PU,Extra Preliminary Round,verified
Larkhall Athletic FC,BA1 8DJ,Extra Preliminary Round,verified
Laverstock & Ford FC,SP1 1QX,Extra Preliminary Round,verified
Leamington FC,CV33 9QB,First Round Qualifying,supporting-evidence
Leatherhead FC,KT22 9AS,First Round Qualifying,verified
Leek Town FC,ST13 8LD,First Round Qualifying,supporting-evidence
Leicester Nirvana FC,LE5 1LU,Extra Preliminary Round,verified
Leighton Town FC,LU7 1RX,First Round Qualifying,supporting-evidence
Leiston FC,IP16 4DQ,First Round Qualifying,supporting-evidence
Leverstock Green FC,HP2 4NQ,Extra Preliminary Round,verified
Lewes FC,BN7 2XA,First Round Qualifying,verified
Lichfield City FC,WS13 6AY,Preliminary Round,verified
Lincoln United FC,LN6 0DY,Extra Preliminary Round,verified
Lingfield FC,RH7 6BT,Extra Preliminary Round,verified
Liskeard Athletic FC,PL14 3HZ,Extra Preliminary Round,verified
Litherland Remyca FC,L21 7LA,Extra Preliminary Round,verified
Little Common FC,TN39 4PG,Extra Preliminary Round,verified
Little Oakley FC,CO12 5ED,Extra Preliminary Round,verified
Littlehampton Town FC,BN17 6BD,Extra Preliminary Round,verified
Liversedge FC,WF15 8DF,Extra Preliminary Round,verified
London Lions FC,EN5 3HW,Extra Preliminary Round,verified
Long Eaton United FC,NG10 2EF,Extra Preliminary Round,verified
Longlevens FC,GL4 3DG,Extra Preliminary Round,verified
Longridge Town FC,PR3 2DB,Extra Preliminary Round,verified
Loughborough Students FC,LE11 3GR,Extra Preliminary Round,verified
Lower Breck FC,L6 0AG,Preliminary Round,verified
Lowestoft Town FC,NR32 4PL,Extra Preliminary Round,verified
Lutterworth Town FC,LE17 4NP,Extra Preliminary Round,verified
Lye Town FC,DY9 7DH,Extra Preliminary Round,verified
Macclesfield FC,SK11 7SP,Second Round Qualifying,supporting-evidence
Maidenhead United FC,SL6 1SF,Second Round Qualifying,supporting-evidence
Maidstone United FC,ME14 1LQ,Second Round Qualifying,supporting-evidence
Maldon & Tiptree FC,CM9 5JQ,First Round Qualifying,supporting-evidence
Malmesbury Victoria FC,SN16 9FG,Extra Preliminary Round,verified
Malvern Town FC,WR14 2EQ,First Round Qualifying,supporting-evidence
Mangotsfield United FC,BS16 9EN,Extra Preliminary Round,verified
March Town United FC,PE15 8HS,Extra Preliminary Round,verified
Margate FC,CT9 5QZ,Preliminary Round,verified
Marine FC,L23 3AS,Second Round Qualifying,verified
Marlow FC,SL7 3ED,Extra Preliminary Round,verified
Marske United FC,TS11 7BW,Extra Preliminary Round,verified
Matlock Town FC,DE4 3AR,Preliminary Round,verified
Melksham Town FC,SN12 7GU,Extra Preliminary Round,verified
Merstham FC,RH1 3QB,Extra Preliminary Round,verified
Merthyr Town FC,CF47 8RF,Second Round Qualifying,supporting-evidence
Metropolitan Police FC,KT8 0BT,Extra Preliminary Round,verified
Mickleover FC,DE3 9FB,Extra Preliminary Round,verified
Midhurst & Easebourne FC,GU29 9BE,Extra Preliminary Round,verified
Mildenhall Town FC,IP28 7HG,Extra Preliminary Round,verified
Millbrook FC (Hampshire),SO16 9QZ,Extra Preliminary Round,verified
Milton Keynes Irish FC,MK2 2HX,Extra Preliminary Round,verified
Moneyfields FC,PO3 6LA,Preliminary Round,verified
Morecambe FC,LA4 4TB,Second Round Qualifying,supporting-evidence
Morpeth Town FC,NE61 2YX,Preliminary Round,verified
Mossley AFC,OL5 0ES,Extra Preliminary Round,verified
Moulton FC,NN3 7QF,Extra Preliminary Round,verified
Mulbarton Wanderers FC,NR14 8AE,Extra Preliminary Round,verified
Nantwich Town FC,CW5 5BS,Extra Preliminary Round,verified
Needham Market FC,IP6 8DA,First Round Qualifying,verified
Nelson FC,BB9 7BN,Extra Preliminary Round,verified
Newark Town FC,NG24 4FH,Extra Preliminary Round,verified
Newcastle Benfield FC,NE6 4NU,Extra Preliminary Round,verified
Newcastle Blue Star FC,NE15 7HB,Extra Preliminary Round,verified
Newcastle Town FC,ST5 3BX,Extra Preliminary Round,verified
Newhaven FC,BN9 9DA,Extra Preliminary Round,verified
Newmarket Town FC,CB8 8BT,Extra Preliminary Round,verified
Newport Pagnell Town FC,MK16 0DF,Extra Preliminary Round,verified
Newton Aycliffe FC,DL5 5AG,Extra Preliminary Round,verified
North Ferriby FC,HU14 3AB,Extra Preliminary Round,verified
North Greenford United FC,UB6 0NX,Extra Preliminary Round,verified
North Leigh FC,OX29 6SL,Extra Preliminary Round,verified
